time,quat x,quat y,quat z,quat w,roll,pitch,yaw
13:55:33, 0.252258, 0.237488, -0.689941, -0.63562, -0.706359, 0.0461993, 1.63575
13:56:30, 0.254639, 0.237671, -0.68103, -0.644165, -0.710624, 0.0406459, 1.61142
13:57:25, 0.227844, 0.211365, -0.728577, -0.610413, -0.628284, 0.0740322, 1.72279
13:58:29, 0.26178, 0.256958, -0.71875, -0.590698, -0.74835, 0.0728035, 1.73724
13:59:28, 0.249634, 0.226685, -0.71698, -0.610168, -0.683844, 0.0814233, 1.70249
14:01:28, 0.278625, 0.260986, -0.691162, -0.613647, -0.781299, 0.0648891, 1.66276
14:02:27, 0.212585, 0.178711, -0.743652, -0.608215, -0.555025, 0.0989513, 1.74237
14:03:28, 0.253235, 0.221008, -0.731567, -0.593201, -0.678322, 0.108525, 1.74067
14:04:26, 0.221375, 0.183044, -0.736023, -0.613037, -0.574805, 0.101622, 1.72262
14:05:26, 0.223694, 0.166382, -0.718994, -0.636719, -0.555415, 0.110014, 1.66072
14:06:27, 0.288208, 0.216125, -0.638062, -0.680542, -0.734061, 0.0736906, 1.47808
14:07:28, 0.290405, 0.168396, -0.569946, -0.75, -0.680905, 0.0785175, 1.27185
14:08:27, 0.287476, 0.136414, -0.525635, -0.789001, -0.642635, 0.0870633, 1.14643
14:09:27, 0.30365, 0.15448, -0.509583, -0.790161, -0.69275, 0.0653878, 1.12206
14:10:29, 0.265991, 0.137939, -0.569641, -0.765381, -0.602508, 0.0920164, 1.2511
14:11:26, 0.27533, 0.130798, -0.612366, -0.729492, -0.60408, 0.1469, 1.35089
14:12:28, 0.267456, 0.136841, -0.624939, -0.720581, -0.596536, 0.137511, 1.38658
14:13:27, 0.258545, 0.148132, -0.656372, -0.693176, -0.591875, 0.134444, 1.47534
14:14:27, 0.295166, 0.208923, -0.645508, -0.672729, -0.734493, 0.100133, 1.49097
14:15:29, 0.267029, 0.190369, -0.676208, -0.659729, -0.660491, 0.110174, 1.55771
14:16:27, 0.251221, 0.186584, -0.689575, -0.653198, -0.629354, 0.102899, 1.59156
14:17:27, 0.266846, 0.210022, -0.702026, -0.625977, -0.685322, 0.111962, 1.64523
14:18:30, 0.283386, 0.238647, -0.698853, -0.611877, -0.753311, 0.104233, 1.66211
14:19:32, 0.278931, 0.262146, -0.707214, -0.594482, -0.782185, 0.0829402, 1.70945
14:20:28, 0.268127, 0.224976, -0.718201, -0.60144, -0.707517, 0.114772, 1.70492
14:21:27, 0.257202, 0.233032, -0.738464, -0.578186, -0.701711, 0.110623, 1.77264
14:22:26, 0.238708, 0.198975, -0.752747, -0.580383, -0.620508, 0.128766, 1.78667
14:23:33, 0.247803, 0.218811, -0.738892, -0.587158, -0.666264, 0.109464, 1.76074
14:24:32, 0.24707, 0.223206, -0.756836, -0.5625, -0.669388, 0.123188, 1.82048
14:25:29, 0.25, 0.240356, -0.756531, -0.554504, -0.700957, 0.111942, 1.83571
